Fed-opp,Increase,Decrease,Level (%),Type
11/6/2002,,50,1.25,Cut
12/11/2001,,25,1.75,Cut
11/6/2001,,50,2,Cut
10/2/2001,,50,2.5,Cut
9/17/2001,,50,3,Cut
8/21/2001,,25,3.5,Cut
6/27/2001,,25,3.75,Cut
5/15/2001,,50,4,Cut
4/18/2001,,50,4.5,Cut
3/20/2001,,50,5,Cut
1/31/2001,,50,5.5,Cut
1/3/2001,,50,6,Cut
5/16/2000,50,,6.5,Rise
3/21/2000,25,,6,Rise
2/2/2000,25,,5.75,Rise
11/16/1999,25,,5.5,Rise
8/24/1999,25,,5.25,Rise
6/30/1999,25,,5,Rise
11/17/1998,,25,4.75,Cut
10/15/1998,,25,5,Cut
9/29/1998,,25,5.25,Cut
3/25/1997,25,,5.5,Rise
1/31/1996,,25,5.25,Cut
12/19/1995,,25,5.5,Cut
7/6/1995,,25,5.75,Cut
2/1/1995,50,,6,Rise
11/15/1994,75,,5.5,Rise
8/16/1994,50,,4.75,Rise
5/17/1994,50,,4.25,Rise
4/18/1994,25,,3.75,Rise
3/22/1994,25,,3.5,Rise
2/4/1994,25,,3.25,Rise
9/4/1992,,25,3,Cut
7/2/1992,,50,3.25,Cut
4/9/1992,,25,3.75,Cut
12/20/1991,,50,4,Cut
12/6/1991,,25,4.5,Cut
11/6/1991,,25,4.75,Cut
10/31/1991,,25,5,Cut
9/13/1991,,25,5.25,Cut
8/6/1991,,25,5.5,Cut
4/30/1991,,25,5.75,Cut
3/8/1991,,25,6,Cut
2/1/1991,,50,6.25,Cut
1/9/1991,,25,6.75,Cut
12/18/1990,,25,7,Cut
12/7/1990,,25,7.25,Cut
11/13/1990,,25,7.5,Cut
10/29/1990,,25,7.75,Cut
7/13/1990,,25,8,Cut
6/25/2003,,25,1,Cut
12/14/2004,25,,2.25,Rise
11/10/2004,25,,2,Rise
9/21/2004,25,,1.75,Rise
8/10/2004,25,,1.5,Rise
6/30/2004,25,,1.25,Rise
12/13/2005,25,,4.25,Rise
11/1/2005,25,,4,Rise
9/20/2005,25,,3.75,Rise
8/9/2005,25,,3.5,Rise
6/30/2005,25,,3.25,Rise
5/3/2005,25,,3,Rise
3/22/2005,25,,2.75,Rise
2/2/2005,25,,2.5,Rise
6/29/2006,25,,5.25,Rise
5/10/2006,25,,5,Rise
3/28/2006,25,,4.75,Rise
1/31/2006,25,,4.5,Rise
12/11/2007,,25,4.25,Cut
10/31/2007,,25,4.5,Cut
9/18/2007,,50,4.75,Cut
12/16/2008,,75-100,0-0.25,Cut
10/29/2008,,50,1,Cut
10/8/2008,,50,1.5,Cut
4/30/2008,,25,2,Cut
3/18/2008,,75,2.25,Cut
1/30/2008,,50,3,Cut
1/22/2008,,75,3.5,Cut
12/17/2015,25,0,0.25-0.50,Cut
12/15/2016,25,0,0.50-0.75,Cut
12/14/2017,25,0,1.25-1.50,Cut
6/15/2017,25,0,1.00-1.25,Cut
3/16/2017,25,0,0.75-1.00,Cut
12/20/2018,25,0,2.25-2.50,Cut
9/27/2018,25,0,2.00-2.25,Cut
6/14/2018,25,0,1.75-2.00,Cut
3/22/2018,25,0,1.50-1.75,Cut
10/31/2019,0,25,1.50-1.75,Cut
9/19/2019,0,25,1.75-2.00,Cut
8/1/2019,0,25,2.00-2.25,Cut
3/16/2020,0,100,0-0.25,Cut
3/3/2020,0,50,1.00-1.25,Cut
